AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
750;6;GULFSTREAM G650;GULFSTREAM;GULFSTREAM G650;G650;1-1-2014;
667;6;GULFSTREAM V/ G-V ;GULFSTREAM AEROSPACE;GULFSTREAM III/V/ G-V EXEC/ G-5/550;G-V;1-10-2002;
641;6;GULFSTREAM G-IV;GULFSTREAM AEROSPACE ;GULFSTREAM AEROSPACE G-III/G-IV  ;G-III/IV;1-1-2009;
470;4;GULFSTREAM I;GULFSTREAM AEROSPACE (GRUMMAN);GULFSTREAM I;G-159;1-1-1990;
473;4;GULFSTREAM I COMM;GULFSTREAM AEROSPACE (GRUMMAN);GULFSTREAM I-COMMANDER;G-159COM;1-1-1990;
159;4;HAMILTON B-18S;HAMILTON;HAMILTON B-18S LITTLE LINER (CONVERTED);B-18S;1-1-1990;
468;4;H-P JETSTREAM;HANDLEY PAGE;HANDLEY PAGE JETSTREAM;JETSTRM;1-1-1990;
664;6;HFB-320 HANSA;HANSA;HFB-320 HANSA;HFB-320;1-1-1990;
474;4;HAWKER SIDELEY 748;HAWKER SIDDELEY;HAWKER SIDDELEY 748;HAWKER S;1-10-2002;
34;0;HELIO H250/295/395;HELIO;HELIO H-250/295/395;COURIER;1-1-1990;
50;0;HOWARD DGA-15P;HOWARD;HOWARD DGA-15P;DGA-15P;1-1-1990;
350;3;HUGHES 300;HUGHES;HUGHES 300;HUGHS300;1-1-1990;
355;3;HUGHES-500/530;HUGHES;HUGHES-500/530;HUGHS500;1-1-2013;
541;5;ILYUSHIN 18;ILYUSHIN;ILYUSHIN IL-18;IL-18;1-1-1990;
876;8;ILYUSHIN 62;ILYUSHIN;ILYUSHIN 62;IL-62;1-1-1990;
877;8;ILYUSHIN 76/TD;ILYUSHIN;ILYUSHIN 76/TD;IL-76/TD;1-1-1990;
878;8;ILYUSHIN 86;ILYUSHIN;ILYUSHIN 86;IL-86;1-1-1990;
879;8;ILYUSHIN 96;ILYUSHIN;ILYUSHIN 96;IL-96;1-3-1993;
881;8;IL-96-40T;ILYUSHIN;ILYUSHIIN IL-96-400T;IL-96-4T;1-1-2013;
643;6;WESTWIND II;ISRAEL AIRCRAFT INDUSTRIES;1124A WESTWIND II;WESTWIND;1-1-2009;
422;4;QUEST KODIAK 100;KODIAK;QUEST KODIAK 100;KODIAK ;1-7-2011;
44;0;LAKE LA-4;LAKE;LAKE LA-4;LA-4;1-1-1990;
175;2;LOCKHEED L-12A;LOCKHEED;LOCKHEED L-12A/L-10/10A;L-12A;1-1-1990;
240;5;LOCKHEED L-049;LOCKHEED;LOCKHEED L-049;L-049;1-1-1990;
242;5;LOCKHEED L-649;LOCKHEED;LOCKHEED L-649;L-649;1-1-1990;
244;5;LOCKHEED L-749/A;LOCKHEED;LOCKHEED L-749/749A;L-749/A;1-1-1990;
247;5;LOCKHEED L-1049;LOCKHEED;LOCKHEED L-1049;L-1049;1-1-1990;
248;5;LOCKHEED 1049C/D/E;LOCKHEED;LOCKHEED L-1049C/D/E;L-1049C;1-1-1990;
252;5;LOCKHEED L-1049G/H;LOCKHEED;LOCKHEED L-1049G/H;L-1049G;1-1-1990;
258;5;LOCKHEED L-1649A;LOCKHEED;LOCKHEED L-1649A;L-1649A;1-1-1990;
550;5;LOCKHEED L-188A/C;LOCKHEED;LOCKHEED L-188A/C ELECTRA;ELECTRA;1-1-1990;
552;5;LOCKHEED L-382B;LOCKHEED;LOCKHEED L-382B;L-382B;1-1-1990;
553;5;LOCKHEED L100-10;LOCKHEED;LOCKHEED L100-10 HERCULES;HERCULES;1-1-1990;
555;5;LOCKHEED L100-20;LOCKHEED;LOCKHEED L100-20 HERCULES;HERCULES;1-1-1990;
556;5;LOCKHEED L100-30;LOCKHEED;LOCKHEED L100-30/L-382E;HERCULES;1-1-1990;
760;7;L-1011-1/100/200;LOCKHEED;LOCKHEED L-1011-1/100/200;L-1011;1-1-1990;
765;7;L-1011-500 TRISTAR;LOCKHEED;LOCKHEED L-1011-500 TRISTAR;L-1011;1-1-1990;
870;8;LOCKHEED JETSTAR;LOCKHEED;LOCKHEED JETSTAR;JETSTAR;1-1-1990;
180;4;MARTIN 202/202A;MARTIN;MARTIN 202/202A;M-202;1-1-1990;
185;4;MARTIN 404;MARTIN;MARTIN 404;M-404;1-1-1990;
158;4;DOUGLAS DC-2;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-2;DC-2;1-1-1990;
160;4;DOUGLAS DC-3;MCDONNELL DOUGLAS;MCDONNELL DOUGLAS DC-3/A/C,C-47/B;DC-3;1-1-1990;
