code|name|updated
M11|Boeing/McDonnell Douglas MD-11|2015-10-05T22:27:42+02:00
M1F|Boeing/McDonnell Douglas MD-11 Freighter|2015-10-05T22:27:42+02:00
M1M|Boeing/McDonnell Douglas MD-11 Combi|2015-10-05T22:27:42+02:00
M80|Boeing/McDonnell Douglas MD-80|2015-10-05T22:27:42+02:00
M81|Boeing/McDonnell Douglas MD-81|2015-10-05T22:27:42+02:00
M82|Boeing/McDonnell Douglas MD-82|2015-10-05T22:27:42+02:00
M83|Boeing/McDonnell Douglas MD-83|2015-10-05T22:27:42+02:00
M87|Boeing/McDonnell Douglas MD-87|2015-10-05T22:27:42+02:00
M88|Boeing/McDonnell Douglas MD-88|2015-10-05T22:27:42+02:00
M90|Boeing/McDonnell Douglas MD-90|2015-10-05T22:27:42+02:00
MIH|Mil|2015-10-05T22:27:42+02:00
MU2|Mitsubishi MU-2|2015-10-05T22:27:42+02:00
ND2|Aerospatiale/Nord 262|2015-10-05T22:27:42+02:00
NDC|Aerospatiale SN601 Corvette|2015-10-05T22:27:42+02:00
NDE|Aerospatiale/Eurocopter Ecureuil AS350/AS355|2015-10-05T22:27:42+02:00
PA1|Piper light aircraft - single piston engine|2015-10-05T22:27:42+02:00
PA2|Piper light aircraft - twin piston engines|2015-10-05T22:27:42+02:00
PAG|Piper Light Aircraft|2015-10-05T22:27:42+02:00
PL2|Pilatus PC-12|2015-10-05T22:27:42+02:00
PN6|Partenavia P68|2015-10-05T22:27:42+02:00
S20|Saab 2000|2015-10-05T22:27:42+02:00
S58|Sikorsky S-58T|2015-10-05T22:27:42+02:00
S61|Sikorsky S-61|2015-10-05T22:27:42+02:00
S76|Sikorsky S-76|2015-10-05T22:27:42+02:00
SF3|Saab SF-340|2015-10-05T22:27:42+02:00
SFB|Saab SF-340B|2015-10-05T22:27:42+02:00
SH3|Shorts SD-330|2015-10-05T22:27:42+02:00
SH6|Shorts SD-360|2015-10-05T22:27:42+02:00
SSC|Aerospatiale/British Aerospace Concorde (discontinued)|2015-10-05T22:27:42+02:00
SWM|Fairchild Metro/Merlin|2015-10-05T22:27:42+02:00
T20|Tupolev Tu-204/214|2015-10-05T22:27:42+02:00
TRN|Non Aircraft - Train|2015-10-05T22:27:42+02:00
TU3|Tupolev Tu-134|2015-10-05T22:27:42+02:00
TU5|Tupolev Tu-154|2015-10-05T22:27:42+02:00
VCV|Vickers Viscount|2015-10-05T22:27:42+02:00
WWP|Israel Aircraft Industries 1124 Westwind|2015-10-05T22:27:42+02:00
YK2|Yakovlev Yak-42|2015-10-05T22:27:42+02:00
YK4|Yakovlev Yak-40|2015-10-05T22:27:42+02:00
YN2|Yunshuji Y-12/Xian Y-12|2015-10-05T22:27:42+02:00
YN7|Yunshuji Y-7/Harbin Y-7|2015-10-05T22:27:42+02:00
YS1|NAMC YS-11|2015-10-05T22:27:42+02:00
